Name ; Type ; Value ; Comment
P_Gang_3_562A.stTuneData.arrLuxLevels[5];REAL;123,7788;
P_Gang_3_562A.stTuneData.arrLuxLevels[6];REAL;134,7005;
P_Gang_3_562A.stTuneData.arrLuxLevels[7];REAL;141,9816;
P_Gang_3_562A.stTuneData.arrLuxLevels[8];REAL;152,9032;
P_Gang_3_562A.stTuneData.arrLuxLevels[9];REAL;171,106;
P_Gang_3_562A.stTuneData.arrLuxLevels[10];REAL;178,3871;
P_Gang_3_562A.stTuneData.arrLuxLevels[11];REAL;189,3088;
P_Gang_3_562A.stTuneData.arrLuxLevels[12];REAL;196,5899;
P_Gang_3_562A.stTuneData.arrLuxLevels[13];REAL;207,5115;
P_Gang_3_562A.stTuneData.arrLuxLevels[14];REAL;214,7926;
P_Gang_3_562A.stTuneData.arrLuxLevels[15];REAL;232,9954;
P_Gang_3_562A.stTuneData.arrLuxLevels[16];REAL;240,2765;
P_Gang_3_562A.stTuneData.arrLuxLevels[17];REAL;240,2765;
P_Gang_3_562A.stTuneData.arrLuxLevels[18];REAL;258,4792;
P_Gang_3_562A.stTuneData.arrLuxLevels[19];REAL;269,4009;
P_Gang_3_562A.stTuneData.arrLuxLevels[20];REAL;276,682;
P_Gang_3_562A.stTuneData.bTunnigDone;BOOL;True;
P_Gang_3_562A.uiBallastOnHours_MB;UINT;315;dintHMILysbraendtimer1 i gammel kode
P_Gang_3_562A.uiPirOffDelayTime_MB;UINT;30;ntHMI_Pir_SetValue i gammel kode
P_Gang_3_562A.uiSPLuxLevel_MB;UINT;500;intHMI_Lux_SetValue i gammel kode
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[0];REAL;3,763359;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[1];REAL;3,763359;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[2];REAL;56,45038;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[3];REAL;90,32061;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[4];REAL;116,6641;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[5];REAL;146,771;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[6];REAL;180,6412;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[7];REAL;218,2748;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[8];REAL;237,0916;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[9];REAL;274,7252;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[10];REAL;308,5954;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[11];REAL;331,1756;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[12];REAL;357,5191;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[13];REAL;395,1527;
P_Rum_3_563.arrstTuneDataGruppe[1].arrLuxLevels[14];REAL;429,0229;
